"Marca temporal","¿Cuál es tu nivel de avance actual dentro de la carrera de TI?","En los últimos 6 meses, ¿con qué frecuencia has interactuado con modelos de IA generativa (e.g., ChatGPT, Claude) para actividades académicas o de programación?","¿Cuál es tu nivel de conocimiento técnico en renderización gráfica 3D o desarrollo de software interactivo?"," [Considero que las distintas funciones del sistema (interfaz gráfica, entrada de micrófono, visión artificial y modelo 3D) están bien integradas.]"," [Encontré que el sistema es innecesariamente complejo de utilizar para realizar consultas universitarias.]"," [La información académica que provee el asistente es clara, precisa y fácil de entender.]"," [El sistema muestra mensajes de error claros o me guía adecuadamente cuando ocurre un fallo técnico.]"," [Al inicio de la interacción, el asistente virtual explicó claramente su propósito y los límites de los temas que puede manejar.]"," [El asistente virtual comprendió mis intenciones y consultas técnicas con precisión.]"," [Las respuestas de la IA fueron útiles, apropiadas y directamente relevantes a mi consulta académica.]"," [Cuando la IA no entendió algo, fue capaz de reconducir la conversación amigablemente sin bloquearse en un bucle.]","Antropomorfismo (Apariencia del modelo 3D)","Animacidad (Fluidez de movimientos y sincronización labial)","Afinidad visual y empatía","Inteligencia percibida mediante su lenguaje corporal"," [Percibí una latencia (retraso computacional) aceptable entre la captura de mi imagen/voz y la respuesta renderizada por el sistema.]"," [El uso de la cámara para la funcionalidad de visión artificial me pareció poco invasivo y confío en el manejo de privacidad.]"," [Utilizar este asistente aumentaría mi eficiencia para encontrar información, en comparación con buscarla manualmente en los portales web actuales.]"," [Basado en esta prueba, preferiría utilizar este asistente de IA en el futuro como mi canal principal para dudas académicas.]","Dado tu conocimiento como estudiante de TI, ¿qué mejora técnica, de arquitectura, base de datos o de interfaz priorizarías antes de lanzar este asistente a toda la universidad? "
"2026/07/21 12:42:18 p. m. GMT-5","4to Semestre","5","1","Totalmente en desacuerdo","En desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","4","4","3","3","Totalmente en desacuerdo","En desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Mejorar la pronunciación de números del avatar."
"2026/07/21 12:45:46 p. m. GMT-5","8vo Semestre","5","5","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","5","5","5","5","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","La arquitectura "
"2026/07/21 12:48:54 p. m. GMT-5","3er Semestre","4","4","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","4","3","5","5","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Sistema de almacenamiento en caché"
"2026/07/21 12:53:44 p. m. GMT-5","8vo Semestre","5","5","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","4","4","5","4","Neutral","Totalmente de acuerdo","De acuerdo","Totalmente de acuerdo","Mejorar la latencia en la que responde las preguntas y el diseño de la interfaz "
"2026/07/21 12:55:20 p. m. GMT-5","4to Semestre","5","3","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","4","5","5","5","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Todo súper bien estructurado "
"2026/07/21 12:58:52 p. m. GMT-5","3er Semestre","4","3","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","5","5","5","5","En desacuerdo","En desacuerdo","En desacuerdo","En desacuerdo","Habilitar más documentos "
"2026/07/21 1:02:35 p. m. GMT-5","3er Semestre","5","1","De acuerdo","En desacuerdo","De acuerdo","Neutral","De acuerdo","Neutral","De acuerdo","De acuerdo","5","4","4","4","Neutral","Neutral","De acuerdo","De acuerdo","Unas mejores respuestas sino encuentra una respuesta clara"
"2026/07/21 2:51:54 p. m. GMT-5","4to Semestre","5","1","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","5","4","4","4","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Mejorar interpretación de preguntas "
"2026/07/21 2:58:25 p. m. GMT-5","8vo Semestre","4","1","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","4","5","5","4","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Más información sobre la carrera sobre las materias y sus aranceles "
"2026/07/21 3:10:04 p. m. GMT-5","8vo Semestre","5","5","Neutral","De acuerdo","Neutral","Neutral","De acuerdo","Neutral","Totalmente de acuerdo","Totalmente de acuerdo","3","3","3","4","Totalmente de acuerdo","Totalmente de acuerdo","De acuerdo","De acuerdo","Mejorar la o tema de concurrwncia "
